eval_datetime,accuracy_score,log_loss
2025-03-31 17:57:21.119516,[0.6851549755301795],[0.6863977374082123]
2025-03-31 18:54:30.550766,[0.6117455138662317],[0.8336268006448386]
2025-04-01 09:33:20.526286,[0.65],[0.7760393592237623]
2025-04-01 09:35:25.226386,[0.6876019575856444],[0.6311344121887588]
2025-04-01 09:36:36.484737,[0.5864600326264274],[0.8647737309423733]
2025-04-01 09:38:10.551298,[0.6859706362153344],[0.6905477005315352]
2025-04-01 09:39:41.718274,[0.6916802610114192],[0.6357817361283645]
2025-04-01 15:39:36.282153,[0.6916802610114192],[0.6370073480112765]
2025-04-01 15:57:01.590141,[0.6939115929941618],[0.6380166816367162]
2025-04-01 15:59:21.120316,[0.6922435362802335],[0.6293136438739309]
2025-04-01 16:16:54.854381,[0.6755629691409508],[0.7021686721520769]
2025-04-01 16:18:52.583165,[0.6723716381418093],[0.7101240645841335]
2025-04-01 16:38:07.942336,[0.7033414832925835],[0.6414031066645565]
2025-04-01 16:39:24.966537,[0.6997497914929107],[0.693127257909861]
2025-04-01 16:40:56.345481,[0.7014681892332789],[0.6889826652101281]
2025-04-01 16:42:22.157581,[0.7039151712887439],[0.6373331692070349]
2025-04-01 16:48:54.924376,[0.7039151712887439],[0.6373260706517708]
2025-04-01 23:07:48.936888,[0.6972477064220184],[0.6881237865824208]
2025-04-01 23:09:32.329718,[0.6435562805872757],[0.7946209088334955]
2025-04-01 23:11:51.719009,[0.6371976647206005],[0.794055398277063]
2025-04-01 23:17:21.753296,[0.7547956630525438],[0.6030472317525283]
